,Name,Email,Address,Phone No,Age,kids,Income,Rent/own,Speeding tickets
0,Shawn Davis,shawndavis@aol.com,"0730 Lang Tunnel Suite 258
Morganberg, CA 19335",644-080-8233x2282,29,1,342000,own,2
1,Henry Cohen,henrycohen@yahoo.com,"11353 Andrea Center Apt. 825
Lake Tylerton, SD 20378",001-897-512-1458x008,19,1,324000,rent,1
2,Jerry Bartlett,jerrybartlett@aol.com,"59480 Tonya Flats
Johnsonside, WI 92528",502-905-2019x1701,58,1,171000,own,2
3,Shawn Huang,shawnhuang@aol.com,"13195 Willie Well
Greentown, NJ 88579",001-531-270-4773,96,4,306000,own,9
4,Kelly Johnson,kellyjohnson@outlook.com,"2978 Martin Overpass
Parkerville, WA 57133",860-027-8661x6477,65,2,63000,rent,8
5,Sarah Christian,sarahchristian@yahoo.com,"Unit 0533 Box 4544
DPO AE 93806",001-439-733-1653x7494,38,1,108000,rent,5
6,Melvin Orozco,melvinorozco@outlook.com,"293 Perkins Brooks Apt. 884
New Christopherland, IN 76213",(116)616-8430,63,2,189000,own,6
7,Elizabeth Baker,elizabethbaker@gmail.com,"954 Montgomery Pass Apt. 775
Andrewview, PA 61940",421-904-6505,41,1,72000,rent,7
8,Hannah Vaughan,hannahvaughan@gmail.com,"77234 Johnson Track Suite 733
South Justin, PA 57276",(582)922-1348,25,1,198000,rent,0
9,James White,jameswhite@outlook.com,"821 Michael Forge Apt. 911
New John, MD 83960",673.439.4817x88468,68,4,261000,own,6
10,Drew Conley,drewconley@yahoo.com,"827 Bryce Creek Apt. 743
Briannaview, CA 03325",667-164-5440x3452,29,1,243000,own,5
11,Courtney Freeman,courtneyfreeman@yahoo.com,"52177 Katelyn Knoll Suite 577
Jesusfurt, VA 93114",099.421.2146,38,0,360000,own,1
12,Dr. Joe King II,dr.joekingii@outlook.com,"93838 Greene Grove
Lake Elizabethshire, TN 82063",(286)851-1542x03435,75,3,81000,rent,2
13,Jennifer Jones,jenniferjones@gmail.com,"21104 Catherine Hollow Apt. 837
West Gregoryberg, UT 51458",4303012017,81,0,324000,own,8
14,Brian Foster,brianfoster@hotmail.com,"Unit 3750 Box 0210
DPO AA 10122",539.039.3625,80,0,126000,rent,0
15,Ashley Andrade,ashleyandrade@gmail.com,"USNV Khan
FPO AE 34118",123-599-5058,59,1,225000,own,6
16,Debra Boone,debraboone@aol.com,"0282 Donald Valley Apt. 564
New Kimberly, NH 53393",709.859.7553x9521,51,1,180000,own,4
17,Amanda Clark,amandaclark@hotmail.com,"23738 Grant Orchard Suite 225
Lake Cynthialand, IN 79669",(110)093-2732x73719,18,2,126000,rent,1
18,Mallory Mendoza,mallorymendoza@yahoo.com,"Unit 3131 Box 1103
DPO AP 81883",595-898-3555x4000,25,0,306000,rent,3
19,Timothy Miller,timothymiller@hotmail.com,"35303 West Port
Anthonyberg, AL 66056",217.468.5370x3376,54,3,243000,own,0
20,Elizabeth Murray,elizabethmurray@yahoo.com,"USS Novak
FPO AE 85928",+1-018-121-5043,79,2,189000,own,0
21,Sabrina Potts,sabrinapotts@outlook.com,"4187 Davis Falls Apt. 206
Pittmanville, MI 82459",001-620-712-7818,81,0,360000,own,3
22,John Walton,johnwalton@gmail.com,"9161 Jenny Passage Apt. 344
West Jennifertown, DE 61607",023-685-0575x17463,80,4,207000,own,3
23,Melissa Reyes,melissareyes@outlook.com,"5670 Carter Stream Suite 318
Lake Jamie, TN 72239",182.552.0043,36,2,297000,own,4
24,Mallory Nelson,mallorynelson@yahoo.com,"02598 Sandoval Point Apt. 212
Port Deborah, OH 09621",734-444-1858x125,95,2,243000,own,5
25,Lynn Garza,lynngarza@yahoo.com,"2939 Samantha Corners
North Nicole, PA 21630",+1-937-030-3409,55,2,198000,own,1
26,Kathryn Baldwin,kathrynbaldwin@outlook.com,"PSC 2656, Box 1398
APO AP 54560",001-159-439-0993x452,62,4,207000,own,1
27,Brianna Frazier,briannafrazier@aol.com,"3216 Jonathan Trail Suite 769
Pamelachester, MS 97532",075-290-8546x7661,70,0,324000,own,8
28,Toni Powell,tonipowell@hotmail.com,"98204 Theresa Circles Suite 888
Kellyside, RI 77142",+1-719-220-4482x231,80,0,279000,own,4
29,Nicholas Wood,nicholaswood@outlook.com,"213 Weiss Expressway Apt. 425
South Angelafort, WA 89613",+1-125-585-1638x3945,20,1,234000,rent,6
30,Jesse Matthews,jessematthews@gmail.com,"6646 Michael Dale Apt. 179
Bakerton, PA 78547",001-160-463-0250,60,0,297000,own,5
31,Sara Wang,sarawang@gmail.com,"6959 Francis Mall
West Victor, AL 71113",(203)437-6533x173,33,2,207000,own,3
32,Brian Marshall,brianmarshall@gmail.com,"13814 Danielle Ranch Apt. 456
Webbtown, MI 81816",305.296.5267x218,43,2,342000,own,8
33,Daniel Beck,danielbeck@gmail.com,"214 Brown Cliff
Lake Michaelland, ID 62304",(441)170-8055x805,56,0,234000,own,6
34,Jennifer Obrien,jenniferobrien@aol.com,"858 Arthur Stream
South Katiebury, NM 57414",561-865-1862x521,58,1,153000,own,3
35,Jennifer Williams MD,jenniferwilliamsmd@yahoo.com,"054 Sean Oval
Newtonfort, TX 23818",(879)554-9788x846,84,2,207000,own,4
36,Kathleen Sloan,kathleensloan@aol.com,"68289 Lacey Glen Apt. 317
Cherryville, VA 28737",6852759243,22,1,306000,rent,0
37,Paul Williams,paulwilliams@gmail.com,"53463 Margaret Road
North Geraldburgh, AR 67251",262-047-2107,93,3,81000,rent,0
38,Christopher Anderson,christopheranderson@aol.com,"421 Lindsey Plain
South Kevin, IL 48082",496-152-5290,91,0,297000,own,8
39,Brian Garza,briangarza@gmail.com,"774 Lee Island
New Scottmouth, NH 72646",854-891-0582,45,4,333000,own,5
40,Thomas Wilson,thomaswilson@aol.com,"USNS Burns
FPO AE 45939",+1-314-229-4951x3246,36,2,198000,own,8
41,Daniel Hampton,danielhampton@outlook.com,"2710 Kelly Mountain
West Sarahaven, RI 93552",759.265.3308x1317,93,1,315000,own,8
42,Mary Smith,marysmith@aol.com,"1129 Norman Green
New Davidview, WA 61692",5650591246,22,0,225000,rent,5
43,Kimberly Ramos,kimberlyramos@aol.com,"0410 William Trail Apt. 564
North Michael, NH 55002",(515)362-6484,31,0,234000,own,2
44,Dalton Little,daltonlittle@yahoo.com,"60555 Kathleen Ford Apt. 609
Jonstad, CT 04816",351.852.2624x511,89,1,117000,rent,4
45,David Le,davidle@hotmail.com,"1264 Virginia Plaza Apt. 235
Hobbstown, WA 54813",995.928.8956x4053,19,0,234000,rent,0
46,Gary Henry,garyhenry@outlook.com,"27725 Oneill Mission
Chapmanburgh, LA 66457",818-696-3846,26,1,297000,own,1
47,Adam Miller,adammiller@outlook.com,"114 Caldwell Junction Suite 412
Port Thomas, NY 15360",+1-735-543-8750x35851,94,3,342000,own,6
48,John Flores,johnflores@yahoo.com,"947 Perry Mill Apt. 653
New Eric, KY 71610",001-303-713-5079,84,1,324000,own,1
49,Robert May,robertmay@hotmail.com,"USNV Howard
FPO AE 15411",081-283-5571x32803,88,1,180000,own,1
50,Krista Johnson,kristajohnson@hotmail.com,"37089 Crystal Landing
Skinnerview, MT 63350",(275)041-0764x1616,91,2,117000,rent,1
51,Victoria Powell,victoriapowell@hotmail.com,"50135 Philip Unions Apt. 182
New Dylan, GA 81468",921.700.2044x57926,31,0,369000,own,9
52,Nicholas Owens,nicholasowens@outlook.com,"89262 Philip Ridges Apt. 386
Greertown, TN 08619",001-425-478-9070x5017,61,2,171000,own,4
53,Rachel Davis,racheldavis@gmail.com,"08042 Mathews Mission Suite 254
Lake Kara, ME 53034",001-299-808-6747x7985,50,3,216000,own,0
54,Nancy Hall,nancyhall@hotmail.com,"80508 Mary Shore Apt. 958
Barbertown, IN 64790",219.429.5730x43603,32,3,288000,own,7
55,Thomas Owens,thomasowens@hotmail.com,"PSC 2185, Box 9907
APO AP 34417",202-113-2789,22,1,216000,rent,3
56,Kyle Reid,kylereid@outlook.com,"219 Smith Underpass Suite 220
Perezfurt, WA 09214",(355)093-7558,54,3,324000,own,6
57,Brittany Bryant,brittanybryant@hotmail.com,"PSC 9232, Box 2522
APO AP 00615",402.685.7437x906,49,1,225000,own,9
58,Andrea Mcintyre,andreamcintyre@hotmail.com,"3048 Tamara Estate Apt. 045
West Davidbury, NM 99086",279-447-3344x23928,66,3,360000,own,3
59,Hannah Thompson,hannahthompson@aol.com,"319 Berger Common
Lake Paige, NV 83392",4151738110,25,0,135000,rent,2
60,Dr. Jennifer Hall,dr.jenniferhall@hotmail.com,"815 Lisa Crossing
Angelaside, WI 72286",676.012.8970x10465,70,0,378000,own,0
61,Amanda Wade,amandawade@hotmail.com,"0308 Claire Isle
New David, NH 65727",695.887.9584,48,2,243000,own,4
62,Jennifer Davis,jenniferdavis@outlook.com,"196 Lori Ramp Apt. 752
New Denise, ND 92843",(226)252-0738,93,1,234000,own,9
63,Andrea Evans,andreaevans@outlook.com,"41351 Jones Brook Suite 834
Jacksonview, OR 97939",+1-820-497-8079x768,43,0,198000,own,0
64,Carl Henry,carlhenry@hotmail.com,"019 Yolanda Ridges Suite 210
Walshton, ND 16077",517-546-9028x451,18,0,216000,rent,0
65,Angela Jenkins,angelajenkins@outlook.com,"266 Johnston Ports Apt. 157
Ryanborough, FL 56411",001-587-630-6645x5362,38,0,261000,own,0
66,Lori Lewis,lorilewis@outlook.com,"385 Stephen Walk Apt. 171
East Richardport, IL 08805",(139)689-1157,60,4,63000,rent,3
67,Wendy Delgado,wendydelgado@outlook.com,"023 Johnson Street Apt. 912
Port Betty, OK 90121",397-442-8391,28,0,279000,own,6
68,Jeffrey Cruz,jeffreycruz@aol.com,"91814 Brown Streets Suite 721
Anthonyfurt, AK 07859",0264682496,98,2,252000,own,7
69,Christopher Anderson,christopheranderson@gmail.com,"287 Alexis Mount
New Jason, IA 91199",617-984-9406x38785,61,1,297000,own,7
70,James Figueroa,jamesfigueroa@aol.com,"9888 Crosby Pine
South Laurenberg, IA 31479",001-644-965-5961x8949,53,4,342000,own,0
71,Zachary Rice,zacharyrice@outlook.com,"060 Manuel Cove Suite 807
Robertschester, IN 33835",+1-365-393-8592x870,24,0,360000,rent,3
72,Raymond Mcdonald,raymondmcdonald@aol.com,"831 Welch Lake
East Anatown, CT 42231",001-520-370-2469x086,86,0,243000,own,9
73,Mrs. Deborah Harrington,mrs.deborahharrington@yahoo.com,"4090 Moss Streets Suite 901
Daisytown, IL 57671",025.840.0335,63,3,144000,rent,6
74,Robert Daniel,robertdaniel@hotmail.com,"1006 Anthony Key
New Nicole, AK 78934",001-557-461-0760x8280,49,1,279000,own,8
75,Christian Santos,christiansantos@hotmail.com,"5636 Jason Mills
Jessicafurt, MI 78980",001-575-804-3957,68,1,171000,own,1
76,Philip Robinson,philiprobinson@gmail.com,"047 Jean Roads Apt. 236
West Philliptown, MI 86894",(667)448-5368,24,0,135000,rent,9
77,Tiffany Walker,tiffanywalker@outlook.com,"9186 Perkins Plaza
Lewisville, LA 62521",(408)484-0891,38,3,135000,rent,3
78,Taylor Miller,taylormiller@outlook.com,"381 Jasmin Light Apt. 207
New Jasminemouth, WA 29108",265.845.0196x56413,38,3,288000,own,4
79,Matthew Drake,matthewdrake@gmail.com,"46098 Garner Knoll
East Charles, ME 53214",+1-969-108-7543,35,0,378000,own,8
80,Matthew Hughes,matthewhughes@hotmail.com,"3102 Odonnell Hollow
East Kelly, TX 57111",7761904434,54,0,243000,own,2
81,Darrell Johnson,darrelljohnson@aol.com,"1433 Russell Field Suite 056
North Leonard, KS 89199",001-395-429-3583x14387,68,2,117000,rent,1
82,Steven Thomas,steventhomas@hotmail.com,"92384 Andrew Roads Apt. 442
West Barry, IN 03947",945-925-4513,87,0,90000,rent,1
83,Melanie Simpson,melaniesimpson@outlook.com,"5884 Rivera Pines
North Thomasshire, TX 77410",+1-272-831-8946,56,1,243000,own,5
84,Gregory Ford,gregoryford@aol.com,"02438 Christopher Roads
New Corey, RI 61569",272.842.4457x697,93,4,234000,own,8
85,Michael Blake,michaelblake@hotmail.com,"39945 Harper Isle
Port Mary, NJ 86148",604-048-6451x066,81,3,162000,own,9
86,Cindy Howe,cindyhowe@gmail.com,"517 Kara Streets
South Nicholas, CT 09523",(978)940-1332x4450,72,4,297000,own,9
87,Rodney Ayala,rodneyayala@hotmail.com,"73842 Stewart Greens
West Robert, CA 96300",055.651.6143x27204,88,2,198000,own,2
88,Robert Lopez,robertlopez@aol.com,"1573 Simon Islands
North Alexton, WI 07979",001-934-916-9276x3786,42,2,144000,rent,1
89,David Oneill,davidoneill@hotmail.com,"11795 Howard Run Suite 073
Perryfort, MT 96903",202.990.1752x59088,25,0,189000,rent,4
90,Brian Wilson,brianwilson@outlook.com,"4359 Price Lock Apt. 141
Edwardfort, LA 41847",(405)156-3020x53840,80,3,225000,own,6
91,Bonnie Frye,bonniefrye@yahoo.com,"4976 Shaw Walk
Donaldfurt, CO 35646",+1-734-640-5915x4164,85,1,351000,own,3
92,Michael Garcia,michaelgarcia@aol.com,"45136 Robyn Cliff Suite 490
Andrewberg, WI 77124",722.355.0293,94,4,207000,own,6
93,Mark Smith,marksmith@outlook.com,"780 Jody Circle Suite 733
Port Meganport, HI 30904",(191)824-8700,95,4,351000,own,4
94,George Sandoval,georgesandoval@aol.com,"3148 Michelle Shore
East Anthonystad, DE 67132",1970519966,73,3,324000,own,7
95,Joyce Jones,joycejones@yahoo.com,"7037 Garza Shoals Apt. 437
Lake Adamland, VA 96255",500-103-5975x948,80,1,333000,own,3
96,Nathan Jackson,nathanjackson@aol.com,"276 John Cove
East Diane, MO 10741",220-462-4970,78,4,234000,own,0
97,Abigail Johnson,abigailjohnson@aol.com,"9505 Joseph Road Suite 583
New John, IL 55033",(612)541-5209,30,0,369000,own,8
98,Dustin Young,dustinyoung@gmail.com,"0104 Amy Isle
Garciaside, TN 81627",+1-172-761-3383,32,0,225000,own,9
99,Darrell Castaneda,darrellcastaneda@gmail.com,"9195 Murphy Shoal Apt. 598
East Marissa, NY 73813",(588)775-0139,69,3,90000,rent,3
